dep,nom_dep,code_circo,numero,prenom,nom,sexe,code_nuance,nuance,sortante
006,Alpes-Maritimes,006-02,2,Emmanuelle,SULTANI,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-02,3,Jean-Marc,MACARIO,homme,LR,Les Républicains,false
006,Alpes-Maritimes,006-02,4,Sonia,NAFFATI,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-02,5,Alexandre,GAIFFE,homme,DVD,Divers droite,false
006,Alpes-Maritimes,006-02,6,Brigitte,REYNARD,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-02,7,Patrick,ISNARD,homme,REC,Reconquête !,false
006,Alpes-Maritimes,006-02,8,Abdel,AÏSSOU,homme,DVD,Divers droite,false
006,Alpes-Maritimes,006-02,9,Lionel,TIVOLI,homme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-02,10,Alain,BOUILLEAUX,homme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-02,11,Loïc,DOMBREVAL,homme,ENS,Ensemble ! (Majorité présidentielle),true
006,Alpes-Maritimes,006-02,12,Laurent,POTENTIER,homme,DIV,Divers,false
006,Alpes-Maritimes,006-03,1,Estelle,JAQUET,femme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-03,2,Gabriel-Kayne,MERCIER,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-03,3,Philippe,VARDON,homme,REC,Reconquête !,false
006,Alpes-Maritimes,006-03,4,Benoît,KANDEL,homme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-03,5,Enzo,GIUSTI,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-03,6,David-André,DARMON,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-03,7,Philippe,PRADAL,homme,ENS,Ensemble ! (Majorité présidentielle),false
006,Alpes-Maritimes,006-03,8,Marie-Françoise,CAUSSIN,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-03,9,Laurent,CASTILLO,homme,LR,Les Républicains,false
006,Alpes-Maritimes,006-03,10,Dominique,BOY-MOTTARD,femme,RDG,Parti radical de gauche,false
006,Alpes-Maritimes,006-03,11,Yann,BENOIT,homme,DIV,Divers,false
006,Alpes-Maritimes,006-03,12,Sylvie,BONALDI,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-03,13,Marie-Ange,RIVIERE,femme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-04,1,Joseph,MARKIEL,homme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-04,2,David,BIEDER,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-04,3,Alexandra,VALETTA-ARDISSON,femme,ENS,Ensemble ! (Majorité présidentielle),true
006,Alpes-Maritimes,006-04,4,Christine,BEYL,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-04,5,Pascal,DUCREUX,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-04,6,Fabrice,CARBONEL,homme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-04,7,Sophie,BOURNOT-POULET,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-04,8,Roger,ROUX,homme,LR,Les Républicains,false
006,Alpes-Maritimes,006-04,9,Alexandra,MASSON,femme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-04,10,Damien,RIEU,homme,REC,Reconquête !,false
006,Alpes-Maritimes,006-05,1,Thibault,DELHEZ,homme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-05,2,Cédric,VELLA,homme,REC,Reconquête !,false
006,Alpes-Maritimes,006-05,3,Nathalie,SOISSON,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-05,4,Marine,BRENIER-OHANESSIAN,femme,ENS,Ensemble ! (Majorité présidentielle),false
006,Alpes-Maritimes,006-05,5,Frank,KHALIFA,homme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-05,6,Christelle,D'INTORNI,femme,LR,Les Républicains,false
006,Alpes-Maritimes,006-05,7,Agnès,BENKEMOUN,femme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-05,8,Philippe,BENASSAYA,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-05,9,Géraldine,MAIYÉ,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-05,10,J.C Wahid,SPACH,homme,DIV,Divers,false
006,Alpes-Maritimes,006-06,1,Daniele,BARTOLI,femme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-06,2,Laurence,TRASTOUR-ISNART,femme,LR,Les Républicains,true
006,Alpes-Maritimes,006-06,3,Philippe,TOUZEAU-MENONI,homme,DVC,Divers centre,false
006,Alpes-Maritimes,006-06,4,Nicole,MAZZELLA,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-06,5,Philippe,LOUVEZ,homme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-06,6,Jean-Bernard,MION,homme,ENS,Ensemble ! (Majorité présidentielle),false
006,Alpes-Maritimes,006-06,7,Philippe,ROBIONY,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-06,8,Bryan,MASSON,homme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-06,9,Pierre,PIACENTINI,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-06,10,Guillaume,JULIEN,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-06,11,Denis,CIESLIK,homme,REC,Reconquête !,false
006,Alpes-Maritimes,006-07,1,Marie-José,VALLADE,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-07,2,Arnaud,DELCASSE,homme,DVG,Divers gauche,false
006,Alpes-Maritimes,006-07,3,Eric,PAUGET,homme,LR,Les Républicains,true
006,Alpes-Maritimes,006-07,4,Arthur,MEYER-ABBATUCCI,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-07,5,Yassin-Faïsal,BELGUECHI,homme,DIV,Divers,false
006,Alpes-Maritimes,006-07,6,Eric,MELE,homme,ENS,Ensemble ! (Majorité présidentielle),false
006,Alpes-Maritimes,006-07,7,Audrey,MARIUS,femme,REC,Reconquête !,false
006,Alpes-Maritimes,006-07,8,Axel,HVIDSTEN,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-07,9,Laurie,FEBVAY,femme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-07,10,Megane,PARGAUD,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-07,11,Tanguy,CORNEC,homme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-07,12,Bérengère,HUMBERT,femme,DVD,Divers droite,false
006,Alpes-Maritimes,006-07,13,Stanislas,MARECHAL,homme,DIV,Divers,false
006,Alpes-Maritimes,006-07,14,Christian,PETARD,homme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-08,1,Adelia,MARTINS,femme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-08,2,Jean-Valéry,DESENS,homme,ENS,Ensemble ! (Majorité présidentielle),false
006,Alpes-Maritimes,006-08,3,Damien,DUBOIS,homme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-08,4,Chantal,FONTANESI,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-08,5,Adrien,GROSJEAN,homme,REC,Reconquête !,false
006,Alpes-Maritimes,006-08,6,Marie,BIBIANO,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-08,7,Bernard,CLAUDEL,homme,DIV,Divers,false
006,Alpes-Maritimes,006-08,8,Chantal,HAMONET,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-08,9,Marie-José,PEREIRA,femme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-08,10,Alexandra,MARTIN,femme,LR,Les Républicains,false
006,Alpes-Maritimes,006-08,11,Lucia,SOUDANT,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-08,12,Dorette,LANDERER,femme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-09,1,David,PAUCHET,homme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-09,2,Michèle,TABAROT,femme,LR,Les Républicains,true
006,Alpes-Maritimes,006-09,3,Xuan Truong,NGUYEN,homme,REC,Reconquête !,false
006,Alpes-Maritimes,006-09,4,Jean-Paul,CAMERANO,homme,DVC,Divers centre,false
006,Alpes-Maritimes,006-09,5,Nicolas,BOULAY,homme,DIV,Divers,false
006,Alpes-Maritimes,006-09,6,Chantal,CHASSERIAUD,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-09,7,Evelyne,BARROERO,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-09,8,Mayaa,TUDIESCHE,femme,ENS,Ensemble ! (Majorité présidentielle),false
006,Alpes-Maritimes,006-09,9,Liliane,PÉCOUT,femme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-09,10,Christian,MATUSZEWSKI,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-09,11,Franck,GALBERT,homme,RN,Rassemblement National,false
007,Ardèche,007-01,1,Severine,GINEYS,femme,ENS,Ensemble ! (Majorité présidentielle),false
007,Ardèche,007-01,2,Marie Élisabeth,FLACH,femme,REC,Reconquête !,false
007,Ardèche,007-01,3,Erick,LE LOHER,homme,DSV,Droite souverainiste,false
007,Ardèche,007-01,4,Hervé,SAULIGNAC,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,true
007,Ardèche,007-01,5,Boris,TZAPRENKO,homme,ECO,Ecologistes,false
007,Ardèche,007-01,6,Muriel,VANDER DONCKT,femme,DXG,Divers extrême gauche,false
007,Ardèche,007-01,7,Michel,VALLA,homme,DVD,Divers droite,false
007,Ardèche,007-01,8,Céline,PORQUET,femme,RN,Rassemblement National,false
007,Ardèche,007-01,9,Pascal,CHAMBONNET,homme,DXG,Divers extrême gauche,false
007,Ardèche,007-01,10,Clara,MADEIRA,femme,REG,Régionaliste,false
007,Ardèche,007-02,1,Claire,GUILMIN,femme,DSV,Droite souverainiste,false
007,Ardèche,007-02,2,Michèle,GAILLARD,femme,DXG,Divers extrême gauche,false
007,Ardèche,007-02,3,Cyrille,GRANGIER,homme,RN,Rassemblement National,false
007,Ardèche,007-02,4,Sébastien,GLADIEUX,homme,DVD,Divers droite,false
007,Ardèche,007-02,5,Marc-Antoine,QUENETTE,homme,LR,Les Républicains,false
007,Ardèche,007-02,6,Martin,CHAIZE,homme,REG,Régionaliste,false
007,Ardèche,007-02,7,Christophe,GOULOUZELLE,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
007,Ardèche,007-02,8,Philippe,BORY,homme,REC,Reconquête !,false
007,Ardèche,007-02,9,Olivier,DUSSOPT,homme,ENS,Ensemble ! (Majorité présidentielle),false
007,Ardèche,007-03,1,Alexandra,CAUQUIL,femme,ENS,Ensemble ! (Majorité présidentielle),false
007,Ardèche,007-03,2,Florence,PALLOT,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
007,Ardèche,007-03,3,Anne,ALIROL,femme,REG,Régionaliste,false
