id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance
814,018-02,3,PATTE-SUCHETET,Mathilde,Mme,REC,Reconquête !
815,018-02,4,ROBIN,Régis,M.,DXG,Divers extrême gauche
816,018-02,5,DEBEUGNY,Emma,Mme,ECO,Ecologistes
817,018-02,6,BAERT,Adrien,M.,LR,Les Républicains
818,018-02,7,ESSAYAN,Nadia,Mme,ENS,Ensemble ! (Majorité présidentielle)
819,018-02,8,MERLIN,Sophie,Mme,DIV,Divers
820,018-02,9,SANSU,Nicolas,M.,COM,Parti communiste français
821,018-03,1,DE LA TOCNAYE,Thibaut,M.,RN,Rassemblement National
822,018-03,2,DUMAY,Frédéric,M.,DSV,Droite souverainiste
823,018-03,3,MARTEEL,Nathalie,Mme,REC,Reconquête !
824,018-03,4,GARCIA-BOSCH-DE MORALES,Aliénor,Mme,FI,La France Insoumise
825,018-03,5,BELLET,Eric,M.,DXG,Divers extrême gauche
826,018-03,6,DE CHOULOT,Bénédicte,Mme,LR,Les Républicains
827,018-03,7,TISSIER,Karine,Mme,ECO,Ecologistes
828,018-03,8,KERVRAN,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle)
829,019-01,1,POUGET,Maitey,Mme,RN,Rassemblement National
830,019-01,2,COINAUD,Marie-Thérèse,Mme,DXG,Divers extrême gauche
831,019-01,3,REBIERE,Amélie,Mme,DIV,Divers
832,019-01,4,JERRETIE,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle)
833,019-01,5,AMIARD,Yannick,M.,DXG,Divers extrême gauche
834,019-01,6,DEVEAUD,Sandrine,Mme,FI,La France Insoumise
835,019-01,7,DUBOIS,Francis,M.,LR,Les Républicains
836,019-01,8,DHERSIN,Patrick,M.,ECO,Ecologistes
837,019-01,9,TAYSSE,Annick,Mme,DVG,Divers gauche
838,019-01,10,OGUINENA,Gilles,M.,REC,Reconquête !
839,019-02,1,QUILLOT,Lise,Mme,DVG,Divers gauche
840,019-02,2,BROUSSE,Nicolas,M.,ENS,Ensemble ! (Majorité présidentielle)
841,019-02,3,BONNIE,Olivier,M.,DVC,Divers centre
842,019-02,4,DUMAS,Thierry,M.,DSV,Droite souverainiste
843,019-02,5,MEUNIER,Frédérique,Mme,LR,Les Républicains
844,019-02,6,ELOPHE,Valéry,M.,RN,Rassemblement National
845,019-02,7,LE BILLAN,Charles-Henri,M.,DVG,Divers gauche
846,019-02,8,AYRAULT,Marie,Mme,DIV,Divers
847,019-02,9,HERZHAFT,Chloé,Mme,DVG,Divers gauche
848,019-02,10,COJAN,Patrick,M.,ECO,Ecologistes
849,019-02,11,SICARD,Sylvie,Mme,DXG,Divers extrême gauche
850,019-02,12,SAUVINIAT,Céline,Mme,ECO,Ecologistes
851,019-02,13,DOS SANTOS DE OLIVEIRA,Camille,Mme,REC,Reconquête !
852,021-01,1,MARTIN,Didier,M.,ENS,Ensemble ! (Majorité présidentielle)
853,021-01,2,PEILLON,Antoine,M.,FI,La France Insoumise
854,021-01,3,JOURDIER,Grâce,Mme,RN,Rassemblement National
855,021-01,4,MOHAMED,Ambrine,Mme,REC,Reconquête !
856,021-01,5,ZIVKOVIC,Sladana,Mme,SOC,Parti socialiste
857,021-01,6,TITRAOUI,Amar,M.,DVC,Divers centre
858,021-01,7,GROS,Dominique,M.,DXG,Divers extrême gauche
859,021-01,8,THÉVENIN,Julien,M.,DXG,Divers extrême gauche
860,021-01,9,DUGOURD,François-Xavier,M.,LR,Les Républicains
861,021-01,10,AYACHE,Franck,M.,UDI,Union des Démocrates et des Indépendants
862,021-01,11,BOURGUIGNON,Manon,Mme,DSV,Droite souverainiste
863,021-02,1,FORTIER,Mélanie,Mme,RN,Rassemblement National
864,021-02,2,DAVID,Bruno,M.,DVD,Divers droite
865,021-02,3,GAILLARD,Franck,M.,REC,Reconquête !
866,021-02,4,BORDAT,Benoît,M.,ENS,Ensemble ! (Majorité présidentielle)
867,021-02,5,HERVIEU,Catherine,Mme,ECO,Ecologistes
868,021-02,6,HUGUET,Adrien,M.,LR,Les Républicains
869,021-02,7,ROCHER,Claire,Mme,DXG,Divers extrême gauche
870,021-02,8,SALINAS,Amélia,Mme,DSV,Droite souverainiste
871,021-03,1,RICHARD,Xavier,M.,DVG,Divers gauche
872,021-03,2,LACROIX-SAMPER,Solène,Mme,REC,Reconquête !
873,021-03,3,FAUVET,Tarja,Mme,DVG,Divers gauche
874,021-03,4,MARC,Patricia,Mme,FI,La France Insoumise
875,021-03,5,LOUIS,Bruno,M.,ECO,Ecologistes
876,021-03,6,GRANDET,Valérie,Mme,LR,Les Républicains
877,021-03,7,BENREDJEM,François,M.,ECO,Ecologistes
878,021-03,8,HAMIDI,Yasmina,Mme,DSV,Droite souverainiste
879,021-03,9,COLLENNE,Julien,M.,DSV,Droite souverainiste
880,021-03,10,BOURGOIS,Dominique-Alexandre,M.,RN,Rassemblement National
881,021-03,11,VAN MELCKEBEKE,Clément,M.,DVG,Divers gauche
882,021-03,12,DELORME,Fabienne,Mme,DXG,Divers extrême gauche
883,021-03,13,KHATTABI,Fadila,Mme,ENS,Ensemble ! (Majorité présidentielle)
884,021-04,1,PONELLE,Jean-Marc,M.,RN,Rassemblement National
885,021-04,2,MOLINOZ,Patrick,M.,RDG,Parti radical de gauche
886,021-04,3,BOMMIER,Loup,M.,REC,Reconquête !
887,021-04,4,GUILLET,Michel,M.,ECO,Ecologistes
888,021-04,5,DE COURSON,Yolaine,Mme,ENS,Ensemble ! (Majorité présidentielle)
889,021-04,6,MARCHAL,Isabelle,Mme,DXG,Divers extrême gauche
890,021-04,7,BRIGAND,Hubert,M.,LR,Les Républicains
891,021-04,8,BEUDET,Julien,M.,DSV,Droite souverainiste
892,021-04,9,GUINOT,Stéphane,M.,FI,La France Insoumise
893,021-04,10,PORTE,Laurence,Mme,DVD,Divers droite
894,021-05,1,LIORET,René,M.,RN,Rassemblement National
895,021-05,2,DE ALMEIDA,Isabelle,Mme,COM,Parti communiste français
896,021-05,3,ROBERT,Clélia,Mme,ECO,Ecologistes
897,021-05,4,PETET,Françoise,Mme,DXG,Divers extrême gauche
898,021-05,5,MOREAU,Hervé,M.,DVD,Divers droite
899,021-05,6,JORDAN,Denis,M.,REC,Reconquête !
900,021-05,7,FOUGÈRE,Charlotte,Mme,LR,Les Républicains
901,021-05,8,PARIS,Didier,M.,ENS,Ensemble ! (Majorité présidentielle)
902,021-05,9,LAMBERT,Michel,M.,DXG,Divers extrême gauche
903,021-05,10,BOUVAREL,Jean-Claude,M.,DSV,Droite souverainiste
904,022-01,1,POUILLART,Morgane,Mme,DXG,Divers extrême gauche
905,022-01,2,LE FOL,Alain,M.,DXG,Divers extrême gauche
906,022-01,3,COSSON,Mickaël,M.,ENS,Ensemble ! (Majorité présidentielle)
907,022-01,4,RAOULT,Loïc,M.,DVG,Divers gauche
908,022-01,5,SERGENTON,Nathalie,Mme,ECO,Ecologistes
909,022-01,6,LAMY,Yvan,M.,DSV,Droite souverainiste
910,022-01,7,THOMAS,Pierre-Yves,M.,REC,Reconquête !
911,022-01,8,DARRAS,Fanny,Mme,REG,Régionaliste
912,022-01,9,GORGIARD,Marion,Mme,FI,La France Insoumise
913,022-01,10,BRIEND,Stéphane,M.,DVD,Divers droite
914,022-01,11,SIMELIERE,Thierry,M.,DVC,Divers centre
915,022-01,12,BILLAUD,Françoise,Mme,RN,Rassemblement National
916,022-01,13,MARTIN,Joannic,M.,REG,Régionaliste
917,022-01,14,FALIGOT,Romain,M.,DVD,Divers droite
918,022-02,1,BERVILLE,Hervé,M.,ENS,Ensemble ! (Majorité présidentielle)
919,022-02,2,BONVOISIN,Franck,M.,DIV,Divers
920,022-02,3,KIEFFER,Antoine,M.,RN,Rassemblement National
921,022-02,4,SICRE,Jean-Luc,M.,DXG,Divers extrême gauche
922,022-02,5,CROKAERT,Eugénie,Mme,REC,Reconquête !
923,022-02,6,DROUILLET,Raphaël,M.,ECO,Ecologistes
924,022-02,7,MARIE,Héléna,Mme,REG,Régionaliste
925,022-02,8,HERBLIN,Lucie,Mme,DXG,Divers extrême gauche
926,022-02,9,DESBOIS,Michel,M.,DVD,Divers droite
927,022-02,10,MONROCQ,Serge,M.,ECO,Ecologistes
928,022-02,11,HUBERT,Sophie,Mme,DSV,Droite souverainiste
929,022-02,12,RICARD,Bruno,M.,ECO,Ecologistes
930,022-03,1,DE MELLON,Odile,Mme,RN,Rassemblement National
931,022-03,2,ALLAIN,Olivier,M.,ENS,Ensemble ! (Majorité présidentielle)
932,022-03,3,LEFEUVRE,Marie-Thérèse,Mme,DSV,Droite souverainiste
933,022-03,4,NIVET,Florence,Mme,ECO,Ecologistes
934,022-03,5,LECAT,Marie-Pierre,Mme,REC,Reconquête !
935,022-03,6,RAVARD,Antoine,M.,SOC,Parti socialiste
936,022-03,7,LE FUR,Marc,M.,LR,Les Républicains
937,022-03,8,TYLI,Bryan,M.,REG,Régionaliste
938,022-03,9,LAMOUR,Jean-Pierre,M.,DXG,Divers extrême gauche
939,022-04,1,TOUDIC,Arnaud,M.,ECO,Ecologistes
940,022-04,2,LEPVRAUD,Murielle,Mme,FI,La France Insoumise
941,022-04,3,LIRONCOURT,Sylvie,Mme,DXG,Divers extrême gauche
942,022-04,4,VINCELEUX,Edwige,Mme,REC,Reconquête !
943,022-04,5,PRIGENT,Jean-Paul,M.,LR,Les Républicains
944,022-04,6,LE SCOUR,Françoise,Mme,REG,Régionaliste
945,022-04,7,ROLLAND,Myriam,Mme,REG,Régionaliste
946,022-04,8,LUDE,Noël,M.,RN,Rassemblement National
947,022-04,9,GUÉGUEN,Alain,M.,DVG,Divers gauche
948,022-04,10,TOUZÉ,Nicolas,M.,ECO,Ecologistes
949,022-04,11,DRISSI,Moulay,M.,DIV,Divers
950,022-04,12,KERLOGOT,Yannick,M.,ENS,Ensemble ! (Majorité présidentielle)
951,022-05,1,CASTEK,Sandrine,Mme,RN,Rassemblement National
952,022-05,2,GUÉGUEN,Yann,M.,DXG,Divers extrême gauche
953,022-05,3,LE MEAUX,Vincent,M.,DVG,Divers gauche
954,022-05,4,PODER,Eric,M.,REG,Régionaliste
955,022-05,5,JEZEQUEL,Yves,M.,LR,Les Républicains
956,022-05,6,PIEPERS,Mael,M.,ECO,Ecologistes
957,022-05,7,GIOUX,Sylvie,Mme,ECO,Ecologistes
958,022-05,8,TROADEC,Marie-Amélie,Mme,FI,La France Insoumise
959,022-05,9,VICET,Marielle,Mme,DIV,Divers
960,022-05,10,KERRAIN,Trefina,Mme,REG,Régionaliste
961,022-05,11,GERMAIN,Bernard,M.,REC,Reconquête !
962,022-05,12,WEBER,Carine,Mme,DXG,Divers extrême gauche
963,022-05,13,LECLERC,Erwann,M.,DSV,Droite souverainiste
964,022-05,14,BOTHOREL,Eric,M.,ENS,Ensemble ! (Majorité présidentielle)
965,023-01,1,MIRAN,Françoise,Mme,ECO,Ecologistes
966,023-01,2,JOSSET,Hélène,Mme,DSV,Droite souverainiste
967,023-01,3,AUCLAIR,Jean,M.,DVD,Divers droite
968,023-01,4,DUMON,Catherine,Mme,DXG,Divers extrême gauche
969,023-01,5,KENNEDY,Roubiali,Mme,DVG,Divers gauche
970,023-01,6,COUTURIER,Catherine,Mme,FI,La France Insoumise
971,023-01,7,MOREAU,Jean-Baptiste,M.,ENS,Ensemble ! (Majorité présidentielle)
972,023-01,8,DEFEMME,Catherine,Mme,DVD,Divers droite
973,023-01,9,BILDE,Sylvie,Mme,RN,Rassemblement National
974,023-01,10,GIROIX,Grégory,M.,REC,Reconquête !
975,023-01,11,DURENGUE,Elisabeth,Mme,DSV,Droite souverainiste
976,024-01,1,KHELFAOUI,Lise,Mme,DXG,Divers extrême gauche
977,024-01,2,JEAN,Emmanuelle,Mme,ECO,Ecologistes
978,024-01,3,AMBROISE,Williams,M.,RN,Rassemblement National
979,024-01,4,MELO,Pierre,M.,DIV,Divers
980,024-01,5,CHRÉTIEN,Cécile,Mme,ECO,Ecologistes
981,024-01,6,VADILLO,Floran,M.,DVG,Divers gauche
982,024-01,7,CHASSAING,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
983,024-01,8,MARTIN,Pascale,Mme,FI,La France Insoumise
984,024-01,9,LEGLU,Isabelle,Mme,DVD,Divers droite
985,024-01,10,LÉGER,Pascale,Mme,REC,Reconquête !
986,024-01,11,REBOUL,Patrice,M.,RDG,Parti radical de gauche
987,024-01,12,MARTY,Elisabeth,Mme,LR,Les Républicains
988,024-02,1,ULIAN,Cédric,M.,ECO,Ecologistes
989,024-02,2,DELPON,Michel,M.,ENS,Ensemble ! (Majorité présidentielle)
990,024-02,3,MULLER,Serge,M.,RN,Rassemblement National
991,024-02,4,CATHUS,Christophe,M.,DVG,Divers gauche
992,024-02,5,ROUX,Michèle,Mme,FI,La France Insoumise
993,024-02,6,DELFOUR,Aurélien,M.,LR,Les Républicains
994,024-02,7,LEGROS,Amandine,Mme,DVD,Divers droite
995,024-02,8,PRATS,Hervé,M.,DSV,Droite souverainiste
996,024-02,9,BALLERAND,Nathalie,Mme,REC,Reconquête !
997,024-02,10,ALMOSNINO,Jonathan,M.,DXG,Divers extrême gauche
998,024-03,1,JORAND,Adélaïde,Mme,DIV,Divers
999,024-03,2,DECOUPY,Jacques,M.,DXG,Divers extrême gauche
1000,024-03,3,GIRARDEAU,Cyril,M.,FI,La France Insoumise
1001,024-03,4,THOMASSON,Myriam,Mme,LR,Les Républicains
1002,024-03,5,PEYROUNY,Martial,M.,DVG,Divers gauche
1003,024-03,6,COUTOU,Antoine,M.,REC,Reconquête !
1004,024-03,7,JOUBERT,Florence,Mme,RN,Rassemblement National
1005,024-03,8,GARDILLOU,Guillaume,M.,DVC,Divers centre
1006,024-03,9,LAVAL,Céline,Mme,ECO,Ecologistes
1007,024-03,10,CUBERTAFON,Jean-Pierre,M.,ENS,Ensemble ! (Majorité présidentielle)
1008,024-03,11,DESMARTIN,Laurence,Mme,DVD,Divers droite
1009,024-04,1,GARNIER,Eric,M.,DVG,Divers gauche
1010,024-04,2,PEYTAVIE,Sébastien,M.,ECO,Ecologistes
1011,024-04,3,ROUDIER,Stéphane,M.,REG,Régionaliste
1012,024-04,4,TRAPY-JOINEL,Laurence,Mme,ECO,Ecologistes
1013,024-04,5,YILDIRIM,Nécati,M.,DXG,Divers extrême gauche
1014,024-04,6,DUBOIS,Jacqueline,Mme,DVC,Divers centre
1015,024-04,7,MALEYRE,Anne-Laure,Mme,REC,Reconquête !
1016,024-04,8,LE BERRE,Ludivine,Mme,RN,Rassemblement National
1017,024-04,9,ROUYARD LIGNON,Frédérique,Mme,DSV,Droite souverainiste
1018,024-04,10,TEILLAC,Christian,M.,DVG,Divers gauche
1019,024-04,11,FANIER,Basile,M.,LR,Les Républicains
1020,025-01,1,LUTZ,Thomas,M.,RN,Rassemblement National
1021,025-01,2,TOURNIER,Pauline,Mme,DIV,Divers
1022,025-01,3,COURBARON,Doïna,Mme,DXG,Divers extrême gauche
1023,025-01,4,MALLOL,Candice,Mme,ECO,Ecologistes
1024,025-01,5,PERNIN,Marielle,Mme,ECO,Ecologistes
1025,025-01,6,CROIZIER,Laurent,M.,ENS,Ensemble ! (Majorité présidentielle)
1026,025-01,7,GALPIN,Fabrice,M.,REC,Reconquête !
1027,025-01,8,VEZIES,Séverine,Mme,FI,La France Insoumise
1028,025-01,9,INEZARÈNE,Salima,Mme,RDG,Parti radical de gauche
1029,025-01,10,FRIESS,Nicole,Mme,DXG,Divers extrême gauche
1030,025-01,11,VIENET,Michel,M.,LR,Les Républicains
1031,025-01,12,KECK,Célia,Mme,REG,Régionaliste
1032,025-02,1,KAOULAL,Chafia,Mme,LR,Les Républicains
1033,025-02,2,RAVACLEY,Stéphane,M.,ECO,Ecologistes
1034,025-02,3,ALAUZET,Eric,M.,ENS,Ensemble ! (Majorité présidentielle)
1035,025-02,4,MEYER,Claudine,Mme,REG,Régionaliste
1036,025-02,5,CARRAU,Barbara,Mme,REC,Reconquête !
1037,025-02,6,THOMASSIN,Geoffrey,M.,DIV,Divers
1038,025-02,7,PRENEL,Jim,M.,DSV,Droite souverainiste
1039,025-02,8,VUITTON,Brigitte,Mme,DXG,Divers extrême gauche
1040,025-02,9,FUSIS,Eric,M.,RN,Rassemblement National
1041,025-03,1,FROPPIER,Christophe,M.,LR,Les Républicains
1042,025-03,2,DAYET,Virgnie,Mme,COM,Parti communiste français
1043,025-03,3,PACQUOT,Nicolas,M.,ENS,Ensemble ! (Majorité présidentielle)
1044,025-03,4,NEDEY,Valère,M.,DVD,Divers droite
1045,025-03,5,TAPONNOT,Romane,Mme,REC,Reconquête !
1046,025-03,6,PASTOR,Christine,Mme,DVD,Divers droite
1047,025-03,7,PLAIN,Franck,M.,DXG,Divers extrême gauche
1048,025-03,8,MAHÉ,Dominique,Mme,DSV,Droite souverainiste
1049,025-03,9,FRITSCH,Nathalie,Mme,RN,Rassemblement National
1050,025-04,1,BARBIER,Frédéric,M.,ENS,Ensemble ! (Majorité présidentielle)
1051,025-04,2,VOLA,Yves,M.,ECO,Ecologistes
1052,025-04,3,GRANGIER,Géraldine,Mme,RN,Rassemblement National
1053,025-04,4,TREPPO,Michel,M.,DXG,Divers extrême gauche
1054,025-04,5,AJOUX,Jean-Marc,M.,DVC,Divers centre
1055,025-04,6,CANARD,Elisabeth,Mme,DSV,Droite souverainiste
1056,025-04,7,BLOCH,Matthieu,M.,LR,Les Républicains
1057,025-04,8,COTTIER,Brigitte,Mme,FI,La France Insoumise
1058,025-04,9,VOURRON,Philippe,M.,REC,Reconquête !
1059,025-04,10,SADIQ,Fatia,Mme,DIV,Divers
1060,025-05,1,GENEVARD,Annie,Mme,LR,Les Républicains
1061,025-05,2,KADIJEVIC,Alexandra,Mme,DSV,Droite souverainiste
1062,025-05,3,LUDI,Martine,Mme,FI,La France Insoumise
1063,025-05,4,ALPY,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
1064,025-05,5,JURY,Mathilde,Mme,RN,Rassemblement National
1065,025-05,6,LEBECQUE,Elena,Mme,REC,Reconquête !
1066,025-05,7,MORRISON,Sonya,Mme,DXG,Divers extrême gauche
1067,026-01,1,CLAPOT,Mireille,Mme,ENS,Ensemble ! (Majorité présidentielle)
1068,026-01,2,VINCENT,Pascale,Mme,REC,Reconquête !
1069,026-01,3,CHKERI,Karim,M.,FI,La France Insoumise
1070,026-01,4,CASARI,Bruno,M.,DVC,Divers centre
1071,026-01,5,ROSE,Samantha,Mme,ECO,Ecologistes
1072,026-01,6,PEHLIVAN,Ozbay,M.,DVG,Divers gauche
1073,026-01,7,PUGEAT,Véronique,Mme,LR,Les Républicains
1074,026-01,8,KOPFF,Adèle,Mme,DXG,Divers extrême gauche
1075,026-01,9,BRÉBANT,Pierrick,M.,DSV,Droite souverainiste
1076,026-01,10,BARJONET,Charles,M.,DIV,Divers
1077,026-01,11,TOSELLO-PACE,Philippe,M.,RN,Rassemblement National
1078,026-01,12,PIGA,Tifanie,Mme,ECO,Ecologistes
1079,026-02,1,POLLET,Lisette,Mme,RN,Rassemblement National
1080,026-02,2,ALZAT-LALY,Arnaud,M.,DSV,Droite souverainiste
1081,026-02,3,BATTESTI,Thomas,M.,REC,Reconquête !
1082,026-02,4,DUBOIS,Rémi,M.,ECO,Ecologistes
1083,026-02,5,MACLIN,Benoît,M.,ENS,Ensemble ! (Majorité présidentielle)
1084,026-02,6,REYNAUD,Gilles,M.,FI,La France Insoumise
1085,026-02,7,ARNAVON,Valérie,Mme,LR,Les Républicains
1086,026-02,8,AISSOU,Mohamed,M.,ECO,Ecologistes
1087,026-02,9,BOUZIANE,Salim,M.,DVC,Divers centre
1088,026-02,10,RAT,Guy,M.,DXG,Divers extrême gauche
1089,026-03,1,DE LAVERGNE,Célia,Mme,ENS,Ensemble ! (Majorité présidentielle)
1090,026-03,2,BERARD,Paul,M.,LR,Les Républicains
1091,026-03,3,MAURICE,Alain,M.,DVG,Divers gauche
1092,026-03,4,BLANCHARD,Elise,Mme,COM,Parti communiste français
1093,026-03,5,MARTIN,Sylvie,Mme,DSV,Droite souverainiste
1094,026-03,6,RAYNAL,Virginie,Mme,REC,Reconquête !
1095,026-03,7,CHAMPMARTIN,Charly,M.,DXG,Divers extrême gauche
1096,026-03,8,DOS REIS,Philippe,M.,RN,Rassemblement National
1097,026-03,9,POCHON,Marie,Mme,ECO,Ecologistes
1098,026-04,1,JULIEN,Gérard,M.,DSV,Droite souverainiste
1099,026-04,2,GAFA,Olivier,M.,ENS,Ensemble ! (Majorité présidentielle)
1100,026-04,3,NICOLAS,Nadine,Mme,DSV,Droite souverainiste
1101,026-04,4,ANTHOINE,Emmanuelle,Mme,LR,Les Républicains
1102,026-04,5,BERNARD,Monique,Mme,DXG,Divers extrême gauche
1103,026-04,6,TANRIVERDI,Aydin,M.,DVG,Divers gauche
1104,026-04,7,VERNY,Geneviève,Mme,REC,Reconquête !
1105,026-04,8,STIN,Véronique,Mme,RN,Rassemblement National
1106,026-04,9,JOUVET,Pierre,M.,SOC,Parti socialiste
1107,027-01,1,DUCAMP,Anne,Mme,DXG,Divers extrême gauche
1108,027-01,2,LOIR,Christine,Mme,RN,Rassemblement National
1109,027-01,3,MONNIER,Fabrice,M.,DSV,Droite souverainiste
1110,027-01,4,MIGUET,Nicolas,M.,DXD,Divers extrême droite
1111,027-01,5,HÉLAYEL,Catherine,Mme,ECO,Ecologistes
1112,027-01,6,POIRSON,Valérie,Mme,REC,Reconquête !
1113,027-01,7,MANSOURET,Anne,Mme,DVG,Divers gauche
1114,027-01,8,ALLO,Véronique,Mme,ECO,Ecologistes
1115,027-01,9,ALORY,Christophe,M.,LR,Les Républicains
1116,027-01,10,GIPSON,Séverine,Mme,ENS,Ensemble ! (Majorité présidentielle)
1117,027-01,11,ANCELIN,Christophe,M.,FI,La France Insoumise
1118,027-02,1,LEVAVASSEUR,Katiana,Mme,RN,Rassemblement National
1119,027-02,2,SAMSON,Nathalie,Mme,FI,La France Insoumise
1120,027-02,3,PEYRAUD,Mélanie,Mme,DXG,Divers extrême gauche
1121,027-02,4,FOUQUES,Martine,Mme,ECO,Ecologistes
1122,027-02,5,GOUTTEFARDE,Fabien,M.,ENS,Ensemble ! (Majorité présidentielle)
1123,027-02,6,FAUVEAU,Françoise,Mme,DSV,Droite souverainiste
1124,027-02,7,CRIQUET,Laurent,M.,DXG,Divers extrême gauche
1125,027-02,8,MARAGLIANO,Francine,Mme,LR,Les Républicains
1126,027-02,9,CAMOIN,Emmanuel,M.,REC,Reconquête !
1127,027-02,10,DARROUSSAT,Thomas,M.,ECO,Ecologistes
1128,027-02,11,BERTOIS,Sylvain,M.,DVD,Divers droite
1129,027-03,1,TAMARELLE-VERHAEGHE,Marie,Mme,ENS,Ensemble ! (Majorité présidentielle)
1130,027-03,2,DELANGLE,Julien,M.,DIV,Divers
1131,027-03,3,COSTEY,Christophe,M.,DVD,Divers droite
1132,027-03,4,ELEXHAUSER,Thomas,M.,DVD,Divers droite
1133,027-03,5,WAYOLLE,Annaïck,Mme,ECO,Ecologistes
1134,027-03,6,LE PÊCHEUR,Dorine,Mme,FI,La France Insoumise
1135,027-03,7,ROUVIER,Catherine,Mme,REC,Reconquête !
1136,027-03,8,HUARD,Marie-Noëlle,Mme,DXG,Divers extrême gauche
1137,027-03,9,MAUVIEUX,Kévin,M.,RN,Rassemblement National
1138,027-04,1,SOLAL,Christophe,M.,DXG,Divers extrême gauche
1139,027-04,2,THOMAS,Sylvain,M.,ECO,Ecologistes
1140,027-04,3,DJEMEL,Nadjia,Mme,ECO,Ecologistes
1141,027-04,4,QUESTEL,Bruno,M.,ENS,Ensemble ! (Majorité présidentielle)
1142,027-04,5,BERTRAND,William,M.,REC,Reconquête !
1143,027-04,6,DEBACHE,Naji,M.,DSV,Droite souverainiste
1144,027-04,7,BRUN,Philippe,M.,SOC,Parti socialiste
1145,027-04,8,PERCHET,Marie-Dominique,Mme,LR,Les Républicains
1146,027-04,9,GUILMIN,Anthony,M.,DIV,Divers
1147,027-04,10,SAULIÈRE,Chrystelle,Mme,RN,Rassemblement National
1148,027-04,11,TACONET,Olivier,M.,RDG,Parti radical de gauche
1149,027-05,1,NIAKATE,Fataumata,Mme,DXD,Divers extrême droite
1150,027-05,2,JOURDAIN,Pierre-Yves,M.,ECO,Ecologistes
1151,027-05,3,BLITMAN,Delphine,Mme,DXG,Divers extrême gauche
1152,027-05,4,TOQUARD,Karl,M.,DSV,Droite souverainiste
1153,027-05,5,HOUSSIN,Timothée,M.,RN,Rassemblement National
1154,027-05,6,RABIER,Martine,Mme,ECO,Ecologistes
1155,027-05,7,BONNET,François,M.,REC,Reconquête !
1156,027-05,8,FONTAINE,Joëlle,Mme,ECO,Ecologistes
1157,027-05,9,DAVERTON,David,M.,LR,Les Républicains
1158,027-05,10,OUZILLEAU,François,M.,ENS,Ensemble ! (Majorité présidentielle)
1159,028-01,1,MAZAHERI,Pierre,M.,ECO,Ecologistes
1160,028-01,2,MAILLET,Lucien,M.,DSV,Droite souverainiste
1161,028-01,3,VERGNE,Ladislas,M.,LR,Les Républicains
1162,028-01,4,DORANGE,Karine,Mme,DVD,Divers droite
1163,028-01,5,KASBARIAN,Guillaume,M.,ENS,Ensemble ! (Majorité présidentielle)
1164,028-01,6,AUBERT,Marie-José,Mme,DXG,Divers extrême gauche
1165,028-01,7,GUILLEMAIN,Quentin,M.,ECO,Ecologistes
1166,028-01,8,HEMARDINQUER,Cyril,M.,REC,Reconquête !
1167,028-01,9,DELORME-MONSARRAT,David,M.,RN,Rassemblement National
1168,028-02,1,MARLEIX,Olivier,M.,LR,Les Républicains
1169,028-02,2,CHAARY,Yassin,M.,DXG,Divers extrême gauche
1170,028-02,3,KRAEMER,Emmanuelle,Mme,DXG,Divers extrême gauche
1171,028-02,4,DAVID,Maxime,M.,ENS,Ensemble ! (Majorité présidentielle)
1172,028-02,5,D'AMILLY,Agnès,Mme,REC,Reconquête !
1173,028-02,6,REIGNIER,Pierre-Marcel,M.,ECO,Ecologistes
1174,028-02,7,JAFFRENOU,Béatrice,Mme,DXG,Divers extrême gauche
1175,028-02,8,DENIS,Adrien,M.,DXG,Divers extrême gauche
1176,028-02,9,BOËTÉ,Kévin,M.,FI,La France Insoumise
1177,028-02,10,LUZEAU,Emeline,Mme,DSV,Droite souverainiste
1178,028-02,11,CASTRO,Sylvie,Mme,ECO,Ecologistes
1179,028-02,12,NIKOLIC,Aleksandar,M.,RN,Rassemblement National
1180,028-03,1,LAQUA,Éric,M.,REC,Reconquête !
1181,028-03,2,ORFILA,Valéria,Mme,FI,La France Insoumise
1182,028-03,3,MARTIAL,Rémi,M.,LR,Les Républicains
1183,028-03,4,GERACI,Carole,Mme,DIV,Divers
1184,028-03,5,LAMIRAULT,Luc,M.,ENS,Ensemble ! (Majorité présidentielle)
1185,028-03,6,FLAUNET,Régine,Mme,RN,Rassemblement National
1186,028-03,7,BOUTICOURT,Damien,M.,DSV,Droite souverainiste
1187,028-03,8,CHEVROLLIER,Vincent,M.,DXG,Divers extrême gauche
1188,028-03,9,JOLY,Vivette,Mme,ECO,Ecologistes
1189,028-03,10,RIBAS,Romain,M.,DVC,Divers centre
1190,028-03,11,DARDABA,Soumaya,Mme,ECO,Ecologistes
1191,028-03,12,BARBIER,Claire,Mme,ECO,Ecologistes
1192,028-03,13,LAMOUREUX,Aurore,Mme,DXG,Divers extrême gauche
1193,028-04,1,GASTON,Mathieu,M.,FI,La France Insoumise
1194,028-04,2,LHOPITEAU,Vincent,M.,REC,Reconquête !
1195,028-04,3,VIGIER,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
1196,028-04,4,DE OLIVEIRA,Virginia,Mme,RN,Rassemblement National
