id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance
112,003-02,13,HERITIER,Louise,Mme,FI,La France Insoumise
113,003-03,1,RAMEAU,Jean-Francois,M.,DXG,Divers extrême gauche
114,003-03,2,DUCHÉ,Paul,M.,ECO,Ecologistes
115,003-03,3,RAY,Nicolas,M.,LR,Les Républicains
116,003-03,4,PENDELIAU,Yves-Marie,M.,DIV,Divers
117,003-03,5,RÉCHARD,Isabelle,Mme,RDG,Parti radical de gauche
118,003-03,6,PEYROL,Bénédicte,Mme,ENS,Ensemble ! (Majorité présidentielle)
119,003-03,7,DENFERD,Elsa,Mme,SOC,Parti socialiste
120,003-03,8,JULIEN,Quentin,M.,RN,Rassemblement National
121,003-03,9,LACOUR,Sophie,Mme,REC,Reconquête !
122,003-03,10,CORBIN,Lydie,Mme,DSV,Droite souverainiste
123,004-01,1,MIFFRED,Laurine,Mme,REC,Reconquête !
124,004-01,2,LYONS,Sylvie,Mme,SOC,Parti socialiste
125,004-01,3,BLANC,Dominique,Mme,DVD,Divers droite
126,004-01,4,VAN HEESBEKE,Nicole,Mme,ECO,Ecologistes
127,004-01,5,ROS,Annabel,Mme,DXG,Divers extrême gauche
128,004-01,6,POTIE,Bruno,M.,DIV,Divers
129,004-01,7,AUDAN,Paul,M.,ENS,Ensemble ! (Majorité présidentielle)
130,004-01,8,RECOTILLET,Pascal,M.,REG,Régionaliste
131,004-01,9,ROLLAND,Patricia,Mme,ECO,Ecologistes
132,004-01,10,BAGARRY,Delphine,Mme,ECO,Ecologistes
133,004-01,11,GIRARD,Christian,M.,RN,Rassemblement National
134,004-01,12,GIACOMINO,Romaric,M.,DSV,Droite souverainiste
135,004-02,1,GUERRERA,Hervé,M.,REG,Régionaliste
136,004-02,2,FERREIRA,Marie,Mme,UDI,Union des Démocrates et des Indépendants
137,004-02,3,RAZEAU,Clémence,Mme,ECO,Ecologistes
138,004-02,4,CADENEL,Myriam,Mme,REC,Reconquête !
139,004-02,5,HUE-COURTIN,Nathalie,Mme,ECO,Ecologistes
140,004-02,6,KECHRA,Frédéric,M.,DXG,Divers extrême gauche
141,004-02,7,DAUX,Danièle,Mme,DSV,Droite souverainiste
142,004-02,8,ABEILLE,Aurélie,Mme,RN,Rassemblement National
143,004-02,9,VICENTE,Laurent,M.,DXG,Divers extrême gauche
144,004-02,10,SOLER,Jean-Luc,M.,DXG,Divers extrême gauche
145,004-02,11,CASTANER,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle)
146,004-02,12,WALTER,Léo,M.,FI,La France Insoumise
147,004-02,13,BEGNIS,Thierry,M.,ECO,Ecologistes
148,005-01,1,GAMERRE,Christine,Mme,ECO,Ecologistes
149,005-01,2,PHILIPPO,Michel,M.,FI,La France Insoumise
150,005-01,3,BOYER,Pascale,Mme,ENS,Ensemble ! (Majorité présidentielle)
151,005-01,4,PRATALI,Fabienne,Mme,ECO,Ecologistes
152,005-01,5,HERBAUT,Camille,Mme,DSV,Droite souverainiste
153,005-01,6,HOURS,Patricia,Mme,REC,Reconquête !
154,005-01,7,SCARAMOZZINO,Roland,M.,ECO,Ecologistes
155,005-01,8,RECOTILLET,Lise,Mme,REG,Régionaliste
156,005-01,9,SARLIN,Eric,M.,RN,Rassemblement National
157,005-01,10,PARA,Kevin,M.,LR,Les Républicains
158,005-01,11,BUISSON,Véronique,Mme,DXG,Divers extrême gauche
159,005-02,1,GIRAUD,Joel,M.,ENS,Ensemble ! (Majorité présidentielle)
160,005-02,2,BESSONNIER,Sandrine,Mme,DSV,Droite souverainiste
161,005-02,3,ROUX,Rémi,M.,DVG,Divers gauche
162,005-02,4,PELISSIER,Margot,Mme,REC,Reconquête !
163,005-02,5,CHAUVET,Carole,Mme,LR,Les Républicains
164,005-02,6,PASSEREAU,Yann,M.,ECO,Ecologistes
165,005-02,7,GUIGNARD,Boris,M.,DXG,Divers extrême gauche
166,005-02,8,ALBRAND,Louis,M.,RN,Rassemblement National
167,005-02,9,MOUNAL,Capucine,Mme,FI,La France Insoumise
168,006-01,1,IMBERT,Florent,M.,DXG,Divers extrême gauche
169,006-01,2,CIOTTI,Eric,M.,LR,Les Républicains
170,006-01,3,DLOUSSKY,Nathalie,Mme,DIV,Divers
171,006-01,4,VITETTI,Muriel,Mme,RN,Rassemblement National
172,006-01,5,LALANDE,Loïc,M.,ECO,Ecologistes
173,006-01,6,ATHANASOPOULOS,Kenza,Mme,DVG,Divers gauche
174,006-01,7,ZAKRZEWSKI,Sylvie,Mme,DSV,Droite souverainiste
175,006-01,8,MONETTI,Graig,M.,ENS,Ensemble ! (Majorité présidentielle)
176,006-01,9,BEAUDET,Chantal,Mme,DIV,Divers
177,006-01,10,RAZEAU,Christian,M.,ECO,Ecologistes
178,006-01,11,CHAINTRON,Anne-Laure,Mme,FI,La France Insoumise
179,006-01,12,BEN MOULAY,Lalla-Chama Gabrielle,Mme,ECO,Ecologistes
180,006-02,1,MORLOT,Philippe,M.,DSV,Droite souverainiste
181,006-02,2,SULTANI,Emmanuelle,Mme,ECO,Ecologistes
182,006-02,3,MACARIO,Jean-Marc,M.,LR,Les Républicains
183,006-02,4,NAFFATI,Sonia,Mme,FI,La France Insoumise
184,006-02,5,GAIFFE,Alexandre,M.,DVD,Divers droite
185,006-02,6,REYNARD,Brigitte,Mme,ECO,Ecologistes
186,006-02,7,ISNARD,Patrick,M.,REC,Reconquête !
187,006-02,8,AÏSSOU,Abdel,M.,DVD,Divers droite
188,006-02,9,TIVOLI,Lionel,M.,RN,Rassemblement National
189,006-02,10,BOUILLEAUX,Alain,M.,DXG,Divers extrême gauche
190,006-02,11,DOMBREVAL,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle)
191,006-02,12,POTENTIER,Laurent,M.,DIV,Divers
192,006-03,1,JAQUET,Estelle,Mme,DXG,Divers extrême gauche
193,006-03,2,MERCIER,Gabriel-Kayne,M.,ECO,Ecologistes
194,006-03,3,VARDON,Philippe,M.,REC,Reconquête !
195,006-03,4,KANDEL,Benoît,M.,RN,Rassemblement National
196,006-03,5,GIUSTI,Enzo,M.,FI,La France Insoumise
197,006-03,6,DARMON,David-André,M.,ECO,Ecologistes
198,006-03,7,PRADAL,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle)
199,006-03,8,CAUSSIN,Marie-Françoise,Mme,ECO,Ecologistes
200,006-03,9,CASTILLO,Laurent,M.,LR,Les Républicains
201,006-03,10,BOY-MOTTARD,Dominique,Mme,RDG,Parti radical de gauche
202,006-03,11,BENOIT,Yann,M.,DIV,Divers
203,006-03,12,BONALDI,Sylvie,Mme,ECO,Ecologistes
204,006-03,13,RIVIERE,Marie-Ange,Mme,DSV,Droite souverainiste
205,006-04,1,MARKIEL,Joseph,M.,DXG,Divers extrême gauche
206,006-04,2,BIEDER,David,M.,ECO,Ecologistes
207,006-04,3,VALETTA-ARDISSON,Alexandra,Mme,ENS,Ensemble ! (Majorité présidentielle)
208,006-04,4,BEYL,Christine,Mme,ECO,Ecologistes
209,006-04,5,DUCREUX,Pascal,M.,ECO,Ecologistes
210,006-04,6,CARBONEL,Fabrice,M.,DSV,Droite souverainiste
211,006-04,7,BOURNOT-POULET,Sophie,Mme,COM,Parti communiste français
212,006-04,8,ROUX,Roger,M.,LR,Les Républicains
213,006-04,9,MASSON,Alexandra,Mme,RN,Rassemblement National
214,006-04,10,RIEU,Damien,M.,REC,Reconquête !
215,006-05,1,DELHEZ,Thibault,M.,DSV,Droite souverainiste
216,006-05,2,VELLA,Cédric,M.,REC,Reconquête !
217,006-05,3,SOISSON,Nathalie,Mme,ECO,Ecologistes
