dep,nom_dep,code_circo,00,prenom,nom,sexe,code_nuance,nuance,id,prenom,nom,sexe,sortante,circonscription,parti,checked,lien,twitter,
002,Aisne,002-02,03,Anne,ZANDITÉNAS,femme,DXG,Divers extrême gauche,8444,Anne,Zanditénas,femme,,002-02,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Aisne,002-02,04,Lola,PUISSANT,femme,RN,Rassemblement National,5661,Lola,Puissant,femme,,002-02,RN,,https://www.aisnenouvelle.fr/id303642/article/2022-05-05/voici-les-cinq-candidats-du-rassemblement-national-dans-laisne,,
002,Aisne,002-02,05,Fatima,EL OUASDI,femme,ENS,Ensemble ! (Majorité présidentielle),7588,Fatima,El Ouasdi,femme,,002-02,LRM/Horizons,,https://horizonsleparti.fr/candidats/,,
002,Aisne,002-02,06,Eric,LEPEUPLE,homme,DIV,Divers,,,,,,,,,,,
002,Aisne,002-02,07,Corinne,BÉCOURT,femme,DVG,Divers gauche,,,,,,,,,,,
002,Aisne,002-02,08,Cécé,AMEWOUI,femme,REC,Reconquête !,,,,,,,,,,,
002,Aisne,002-03,01,Laetitia,VOISIN,femme,DXG,Divers extrême gauche,8445,Laetitia,Voisin,femme,,002-03,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Aisne,002-03,02,Hervé,BERNARDEAU,homme,REC,Reconquête !,,,,,,,,,,,
002,Aisne,002-03,03,Paul-Henry,HANSEN-CATTA,homme,RN,Rassemblement National,5663,Paul-Henry,Hansen-Catta,homme,,002-03,RN,,https://www.aisnenouvelle.fr/id303642/article/2022-05-05/voici-les-cinq-candidats-du-rassemblement-national-dans-laisne,,
002,Aisne,002-03,04,Jérome,MOINEUSE,homme,LR,Les Républicains,,,,,,,,,,,
002,Aisne,002-03,05,Agnès,CHOTIN,femme,DSV,Droite souverainiste,,,,,,,,,,,
002,Aisne,002-03,06,Jean-Louis,BRICOUT,homme,DVG,Divers gauche,5664,Jean-Louis,Bricout,homme,checked,002-03,PS,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/vague1_investitures_ps_nupes-896b6d8e81644c90819c172aea1049b5.pdf,https://twitter.com/jlbricout,
002,Aisne,002-04,01,José,BEAURAIN,homme,RN,Rassemblement National,5666,José,Beaurain,homme,,002-04,RN,,https://www.aisnenouvelle.fr/id303642/article/2022-05-05/voici-les-cinq-candidats-du-rassemblement-national-dans-laisne,,
002,Aisne,002-04,02,Aurélien,GALL,homme,COM,Parti communiste français,5668,Aurélien,Gall,homme,,002-04,PCF,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/tableau-circos-pcf-accord-nupes-7397ac805b5f4340a7ae16bd3c875949.pdf,https://twitter.com/Gall_PCF02,
002,Aisne,002-04,03,David,BOBIN,homme,LR,Les Républicains,5665,David,Bobin,homme,,002-04,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,,
002,Aisne,002-04,04,Vanessa,VICENTE,femme,REC,Reconquête !,,,,,,,,,,,
002,Aisne,002-04,05,Flora,BOUILLAGUET,femme,DXG,Divers extrême gauche,8446,Flora,Bouillaguet,femme,,002-04,LO,,https://www.lutte-ouvriere.org/legislatives,,
